CONSISTENT_ORIG_NAME_NO,arrow_row_id
BOATMAN NO 17 TWIN,-1
OLD NO 1 BORE,-1
NO 3 BORE,-1
MOUNTAIN GULLY BORE,-1
BORER BORE,-1
KHYBER HOUSE,-1
BOGARELLA NO 7,-1
BOGARELLA NO 8 BORE,-1
SANDY CREEK BORE,-1
ST CLAIR BORE,-1
SANDBANK BORE,-1
BLACKFELLOW BORE,-1
DIP BORE,-1
CHALK RIDGE BORE,-1
ABANDONED BORE,-1
BONUS DOWNS NO 2,-1
BONUS DOWNS NO.3,-1
BONUS DOWNS NO. 4,-1
BONUS DOWNS NO5,-1
BONUS DOWNS NO. 6,-1
HOMESTEAD BORE,-1
EGG HOLE BORE,-1
TULLUNDUNNA CREEK,-1
CYTHEREA NO 1,-1
CYTHEREA NO. 2,-1
BOOLBIE BORE,-1
OLD DRIBBLER BORE,-1
COLANYA BOORARA NO 2,-1
WOOLSHED NO 1 BORE,-1
WOOLSHED NO 2,-1
KILCOWERA,-1
TUNKA SPRINGS BORE,-1
WANDY LADY,-1
TALEROO NO 1 BORE,-1
POTEWKA,-1
KOONPA,-1
PERRYS,-1
GUNNS WELL,-1
WONGARELLA WELL,-1
DOUBLE WELL,-1
BOOTHULLA LEASE BORE,-1
KANAKA BORE,-1
BOWEN DOWNS NO.2,-1
LANDS END BORE,-1
HIGHBURY,-1
HIGHBURY (4),-1
JABIRU BORE NO.2,-1
JANESLAND BORE,-1
YAN YEAN BORE,-1
PALESTINE BORE,-1
SUMANA HOUSE BORE,-1
NO1 BORE,-1
NO. 2 BORE,-1
NO. 1,-1
NO. 2 OR EWEN BORE,-1
THREE SISTERS,-1
LOBBS,-1
LOBBS YARD (C),-1
LOBS YARD D,-1
BREADALBANE 1,-1
MT TARLEY BORE,-1
MT FARLEY 3,-1
BREADALBANE NO 4,-1
BREADALBANE NO 5,-1
BREADALINE NO. 6,-1
BREADALBANE 7,-1
BREADALBANE 8,-1
BREADALBANE 9,-1
BRENDA NO 1,-1
BRENDA NO 2,-1
NO.1 BORE,-1
FRANKLIN BORE,-1
NO.3 BORE,-1
NO.4 POTJOSTLER,-1
NO 5 BORE,-1
WAVERLEY NO 6 BORE,-1
LILLEYVALE SRF JOB 299,-1
NO.1 BORE,-1
NO.2 BORE,-1
17 MILE SULIMAN BORE,-1
10 MILE WELL,-1
TOP MAKBAT BORE,-1
BOTTOM MAKBAT,-1
CHINAMENS WELL,-1
SLATERS WELL,-1
COTTONBUSH HOMESTEAD,-1
BOSLEY,-1
COTTONBUSH NO4,-1
COTTON BUSH NO 5,-1
LONGSIGHT PEAK,-1
HERCULES NO. 7,-1
BULGROO BORE,-1
HOUSE BORE,-1
EUTHELLA BORE,-1
NIMRO BORE,-1
HOMESTEAD BUNDA NO 4,-1
CULBERRY BORE WOOLSHED,-1
OLD NO.1 BORE WOOLSTONE,-1
DENBY BORE,-1
NO.2 BORE,-1
PINABA CREEK,-1
"OLD NO.2, PINABA NO. 2",-1
BOORABIN BORE,-1
CROOKED CREEK,-1
TRENTON,-1
40 MILE,-1
LUCKSOME NO 2,-1
10 MILE,-1
EAST CREEK BORE,-1
HOUSE BORE,-1
NO.29 BORE,-1
YAMBA BORE,-1
KILTERRY BORE,-1
WOOLSHED,-1
12 MILE BORE,-1
SLAB HUT BORE,-1
BURENDA NO 4 BORE,-1
BURENDA NO 5,-1
BURENDA BORE,-1
BURENDA NO2,-1
BURENDA NO 4 BORE,-1
OLD BURENDA NO 6,-1
ABANDONED BORE,-1
MILLS BORE,-1
BURENDA NO 10,-1
BURENDA NO 10A,-1
BURENDA NO 11,-1
ROTHSAY NO 15,-1
WALLACES NO 1,-1
GUNDARE BORE,-1
GUNDARE NO 3 BORE,-1
SURREY BORE,-1
BURLEIGH LEASE 2,-1
NO.3 BORE,-1
HOUSE BORE,-1
NO.7 BORE,-1
CORNER BORE,-1
NO.9 BORE,-1
NO.10 BORE,-1
NO.2 BORE,-1
NO.12 BORE,-1
NO.13 BORE,-1
GALLIPOLI BORE,-1
NO.16 BORE,-1
NO.8 BORE,-1
NO.2 BORE,-1
OLD HOUSE BORE,-1
SIMPLEX BORE,-1
OLD BYLONG NO.1 BORE,-1
RED MILL BORE,-1
OXFORD DOWNS NO. 1,-1
OXFORD DOWNS NO. 2,-1
OXFORD DOWNS NO.3,-1
BURRENBILLA NO 1,-1
BURRENBILLA NO 2,-1
BURRENBILLA NO 3,-1
CLOVER DOWNS NO 1 BO,-1
CLOVER DOWNS BORE,-1
NO 1 SALTBUSH,-1
BURRANDILLA NO 2,-1
KOREELAH,-1
BYRA BORE,-1
SUGAR BAG BORE,-1
ROSIES BORE,-1
SMITH CREEK BORE,-1
ROCKY BORE,-1
BYALONG,-1
GUILFORD HOMESTEAD,-1
CAIWARRA NO 3,-1
YELLOW WATER HOLE,-1
WOOLSHED CURRAWINYA,-1
WITHER WITHER,-1
4 MILE WELL,-1
MOONING HOMESTEAD,-1
WITTENBURRA NO. 2,-1
WITTENBURRA NO 3,-1
WICK BORE,-1
CAITHNESS BORE,-1
SOUTH REAY BORE,-1
CANESBY BORE,-1
WICK HILL,-1
BIG WATTEN BORE,-1
REAY BORE,-1
PETERS,-1
OLD PETERS,-1
CALEDONIA (2),-1
NO. 2 BORE,-1
NO3,-1
CLAYDON BORE,-1
CLAYDON (4A) BORE,-1
NO. 6 BORE,-1
NO. 7 BORE,-1
NO 8,-1
NUMBER 9 SUBBORE,-1
CALEDONIA NO 10 BORE,-1
BANNOCKBURN HOUSE,-1
MARTINS,-1
NO 2 BORE,-1
STANDBY,-1
OLD HOUSE BORE,-1
OLD SHED BORE,-1
HOUSE BORE,-1
FIG TREE BORE,-1
BOREE BORE,-1
FLAGSTONE,-1
CUDGEE BORE,-1
HOUSE BORE,-1
BLUEBUSH NORTH,-1
DALZELL,-1
LILY BORE,-1
EIGHT MILE CREEK,-1
CECIL BORE,-1
WHIM BORE,-1
YAN YEAN BORE,-1
LOWER BORE,-1
CECIL BORE,-1
HOUSE BORE,-1
TOP LILY BORE,-1
STONY VALE BORE,-1
MEADOWLANDS,-1
